Date;Plat
2011-03-02;Compote
2011-03-03;Timbale de pâtes
2011-03-09;Brocolis à la provençale
2011-03-09;Gouda
2011-03-22;Haricots verts
2011-03-25;Camembert
2011-03-30;Mâche / demi-œuf
2011-04-01;filet de lieu sauce marmite du perray
2011-04-01;RIZ
2011-04-05;Salade au surimi
2011-04-05;cuisse de poulet confit
2011-04-07;Choux rouges bio au gruyère
2011-04-07;Couscous boulettes de bœuf
2011-04-11;Cordon bleu
2011-04-11;Port salut
2011-04-13;Crème chocolat
2011-04-15;Gaspacho
2011-04-15;yaourt brassé bio
2011-04-18;Pomme
2011-04-19;Edam
2011-04-20;petits pois à l'Anglaise
2011-04-27;Salade au gruyère
2011-04-29;choux fleurs à la crème
2011-05-02;Liégeois
2011-05-04;ratatouille maison
2011-05-11;Pomme
2011-05-13;framboise
2011-05-16;Bâtonnière de légumes
2011-05-17;Sauté de dinde à la dijonnaise
2011-05-17;Cocktail de fruits
2011-05-19;Rôti de bœuf
2011-05-23;Yaourt bio
2011-05-24;Salade de pâtes aux tomates confites
2011-05-25;Poires au sirop
2011-05-31;repas de depannage
2011-06-14;Brocolis
2011-06-16;Gaspacho
2011-06-17;salsifis/ carottes creme
2011-06-17;Eclair
2011-06-20;Raviolis
2011-06-21;Concombres A LA CREME
2011-06-22;salade de tomates
2011-06-24;Filet de poisson sauce Dieppoise
2011-06-27;paupiette sauce Agrumes
2011-06-29;jambon fumé
2011-07-01;Tomates en salade
2011-07-01;Pilon de poulet froid (apéro)
2011-07-04;Pâtes à la bolognaise
2011-07-05;Petits pois
2011-07-08;beurre blanc
2011-07-18;Melon
2011-07-18;lasagnes napolitaines
2011-07-19;Salsifis béchamel
2011-07-21;courgette à la Provençal
2011-07-26;concombres
2011-07-27;Carottes aux oignons
2011-07-29;Radis/beurre
2011-07-29;Cantal
2011-07-29;Chili con carne
2011-08-05;Carottes râpées bio
2011-08-08;Pastèque
2011-08-08;cuisse de poulet rôtie
2011-08-09;St Bricet
2011-08-10;Merguez
2011-08-12;Salade au thon
2011-08-18;Concombres
2011-08-22;Crêpe fromage
2011-08-22;Courgettes farcies
2011-08-26;salade de blé bio, tomate, maïs
2011-08-29;Pâtes à la bolognaise
2011-08-30;Pastèque
2011-09-01;Escalope
2011-09-01;Petits pois
2011-09-07;Tomates / demi-œuf
2011-09-08;haricots verts
2011-09-12;haricots beurre et plats agro
2011-09-13;bolognaise
2011-09-16;sce crustacés
2011-09-19;sauté de dinde aux raisins
2011-09-29;Crêpe fromage
2011-09-30;Pomme reinette
2011-10-03;Cornichons
2011-10-03;lentilles maison
2011-10-04;choux blanc rape bio
2011-10-04;emincé de bœuf Strogonoff
2011-10-05;Crème de gruyère
2011-10-06;salade carnaval
2011-10-06;Epinards
2011-10-10;chipo de volaille
2011-10-12;rôti de veau farci
2011-10-18;P'tit Lu
2011-10-19;légumes pot au feu
2011-10-25;Concombres
2011-10-31;haricots verts
2011-11-02;purée de patate douce
2011-11-03;salade verte
2011-11-09;Chèvre
2011-11-14;crème vanille
2011-11-15;Salade de pâtes aux tomates confites
2011-11-15;Jambon fumé (s/porc : Blanc de dinde)
2011-11-15;Marmelade
2011-11-17;Dhal de lentilles
2011-11-17;Compote po framboise
2011-11-21;Tomme bio
2011-11-22;rôti de dinde au jus
2011-11-29;Blanquette de veau
2011-11-30;Semoule au lait
2011-12-02;omelette
2011-12-02;Camembert
2011-12-05;boulettes
2011-12-05;Couscous
2011-12-05;Flan gélifié au chocolat
2011-12-06;Haricots beurre et plats
2011-12-07;cordon bleu de volaille
2011-12-09;sauce b blanc
2011-12-09;st paulin
2011-12-12;sauce aux baies roses
2011-12-13;carottes râpées
2011-12-20;carottes râpées
2011-12-21;Mogettes
2011-12-27;Potage tomate / vermicelle
2011-12-27;escalopes de dinde au jus
2011-12-30;"céléri remoulade ""maison"""
2011-12-30;omelette
2012-01-02;crêpe au fromage
2012-01-05;noix
2012-01-05;Camembert
2012-01-06;Choux blanc mimolette
2012-01-10;haricots verts
2012-01-11;galette des rois
2012-01-12;rôti de dinde
2012-01-16;sauce bolognaise maison
2012-01-18;orange
2012-01-24;salade de lentilles bio au gruyère (Lentilles bio, tomate, gruyère)
2012-01-24;Batonnière de légumes
2012-01-27;salade verte au thon
2012-02-02;Chandeleur
2012-02-03;Tome bio
2012-02-08;crepe au fromage
2012-02-08;epinards (test palets)
2012-02-09;Endives aux des de pommes
2012-02-14;jambon de dinde
2012-02-15;demi-œuf
2012-02-15;Fromage blanc
2012-02-17;Crêpe fromage
2012-02-22;St paulin
2012-03-02;epinards a la creme
2012-03-08;Choux rouges bio
2012-03-09;salade de betteraves
2012-03-09;Orange
2012-03-12;Mâche / demi-œuf
2012-03-12;chili con carné de légumes
2012-03-16;Parmentier de poisson maison
2012-03-19;Frites
2012-03-23;sauce crustacés
2012-03-23;Purée carottes D'Aucy
2012-03-27;Choux fleurs béchamel agro
2012-03-28;yaourt aro
2012-03-29;Concombres
2012-04-02;Salade au surimi
2012-04-02;yaourt bio
2012-04-03;Edam
2012-04-05;legumes
2012-04-12;Morbier
2012-04-16;Paëlla
2012-04-17;ratatouille agro
2012-04-18;tarte au fromage
2012-04-20;salade de pâtes aux tomates
2012-04-20;Camembert
2012-04-23;Hachis parmentier
2012-04-23;ile flottante
2012-04-26;salade / surimi
2012-04-27;salade P de terre, œuf durs
2012-04-30;Lentilles cuisinées BIO
2012-04-30;Yaourt aro
2012-05-02;Petits pois
2012-05-04;sauce Normande
2012-05-10;Rôti de porc au jus
2012-05-11;filet de lieu printanière
2012-05-21;Melon
2012-05-23;Morbier
2012-05-31;rôti de dinde au jus
2012-05-31;frites
2012-06-01;Fruit de saison (nectarine??)
2012-06-04;salade de tomates
2012-06-08;Tome bio(pirudel)
2012-06-12;tarte au fromage
2012-06-12;Poisson  pané
2012-06-14;Salade de choux fleurs Educalim
2012-06-19;Choux fleurs bécha
2012-06-28;cordon bleu
2012-07-02;Melon
2012-07-05;Tomates cerises
2012-07-06;sauce beurre blanc
2012-07-13;omelette
2012-07-16;chili con carné
2012-07-19;Petits pois
2012-07-27;Poisson pané
2012-08-02;Rôti de porc
2012-08-06;Timbale de pâtes au jambon
2012-08-08;brocolis Provençal
2012-08-08;St Paulin
2012-08-08;Beignet pomme
2012-08-09;Chèvre
2012-08-16;jambon de dinde
2012-08-20;Pizza
2012-08-20;Prunes reine claude
2012-08-22;Pommes de terre au thon
2012-08-24;Camembert
2012-08-28;Raisin
2012-08-29;carottes râpées bio
2012-08-30;petits pois
2012-09-11;Raisin
2012-09-14;Poisson meunière
2012-09-14;Fromage de brebis
2012-09-14;Poire
2012-09-17;Purée patates douces
2012-09-18;Batonnière de légumes
2012-09-20;Rôti de dinde
2012-10-01;Suisses aro
2012-10-03;Frites
2012-10-10;Cantal
2012-10-11;cornichons
2012-10-12;Chèvre
2012-10-15;Fromage blanc / miel (coupelle)
2012-10-16;Tomme bio
2012-10-17;Betteraves
2012-10-17;Morbier
2012-10-22;Potage / croûtons
2012-10-23;filet de poisson surgelé baies roses
2012-10-25;Salade aux dés de chèvre
2012-10-26;Carottes
2012-10-29;Salade au chèvre
2012-11-05;Omelette
2012-11-07;fricassée poulet fermier
2012-11-07;Petits pois
2012-11-12;Paëlla
2012-11-13;filet de poisson sauce crustacés
2012-11-14;Carottes râpées bio
2012-11-14;Lentilles
2012-11-14;Edam
2012-11-15;Banane
2012-11-19;Poisson sauce Normande
2012-11-22;Frites
2012-11-27;Orange
2012-11-30;Omelette
2012-11-30;Poire
2012-12-11;Poêlée saveur des Indes
2012-12-17;Jambon fumé
2012-12-18;Chanteneige
2012-12-18;Pomme
2012-12-19;sauté de veau forestier
2012-12-24;Repas festif??
2012-12-27;Poulet rôti
2012-12-28;Camembert
2012-12-31;Rizotto
2013-01-09;betteraves cube
2013-01-11;beurre blanc
2013-09-05;Banane
2013-09-11;Choux rouge bio
2013-09-17;carottes vapeur
2013-09-18;Blé bio
2013-09-20;Des de betteraves
2013-10-01;parmentier de poisson
2013-10-01;Salade verte
2013-10-03;Rôti de bœuf
2013-10-04;Omelette
2013-10-08;Tomme blanche
2013-10-09;Carottes râpées bio
2013-10-10;Nuggets de volaille+ketchup
2013-10-14;Tarte au fromage
2013-10-14;Gruyère
2013-10-16;Raisin
2013-10-18;Chou rave râpées sauce au miel
2013-10-18;Dhal de lentilles( sans dinde)
2013-10-18;Fromage bio
2013-10-21;Fromage blanc
2013-10-23;Edam
2013-10-23;Poire
2013-10-30;potage dee légumes et croûtons
2013-11-04;Salade de pâtes aux tomates confites agro
2013-11-06;Potage potiron / croûtons
2013-11-06;Kiwi
2013-11-08;Omelette
2013-11-18;Clémentines
2013-11-19;Pomme bio
2013-11-20;Purée de légumes verts
2013-11-21;Yaourt bio
2013-11-26;Poire
2013-11-28;Timbale de pâtes au jambon
2013-11-28;Fromage blanc / dattes
2013-12-04;Rôti de porc
2013-12-11;Poulet
2013-12-12;Sauté de dinde aux pruneaux
2013-12-13;Omelette
2013-12-17;lentilles maison
2013-12-17;Crème choco
2013-12-23;Nuggets de volaille
2013-12-24;epinards
2013-12-26;brochette de crevettes
2014-01-02;Clémentines
2014-01-03;Poisson sauce niçoise
2014-01-03;Tagliatelles
2014-01-08;Choux rouges
2014-01-09;repas grêve
2014-01-13;Chèvre
2014-01-14;salade de mâche/noix
2014-01-14;Riz
2014-01-15;Sauté de dinde
2014-01-21;roti de dinde
2014-01-22;Blanquette de veau
2014-01-23;Poulet d'Ancenis
2014-01-23;Banane
2014-01-29;Petits pois 5/1
2014-01-31;NOUVEL AN CHINOIS
2014-02-04;Sauté de veau
2014-02-04;Carottes au cumin
2014-02-07;pomme de terre sautées
2014-02-07;Champanet
2014-02-12;gratin d'endives et pdt
2014-02-12;Cocktail de fruits au sirop
2014-02-14;Pomme bio
2014-02-17;Camembert
2014-02-19;Ananas
2014-02-20;Carottes râpées bio
2014-02-20;Yaourt fermier bio
2014-02-21;Taboulé
2014-02-21;Port salut
2014-02-24;Crème vanille
2014-02-25;Mâche/surimi
2014-02-26;Liégeois choco
2014-03-03;sauce bigarrade
2014-03-04;PA mercredi
2014-03-05;Potage carotte / croûtons
2014-03-05;Tomme noire
2014-03-07;madeleine de
2014-03-10;Fricassée de poulet fermier
2014-03-11;Mâche / demi-œuf
2014-03-12;Choux blancs mimolette
2014-03-17;Salade verte
2014-03-24;St Paulin
2014-03-24;Pomme bio
2014-03-25;Salade verte
2014-03-26;Banane
2014-04-01;dinde
2014-04-04;Poisson meunière
2014-04-09;Crêpe au sucre
2014-04-10;Radis/beurre
2014-04-10;filet de poisson sauce normande
2014-04-14;Pamplemousse
2014-04-15;Gouda
2014-04-16;Parmentier de poisson
2014-04-22;Bettraves au gruyère
2014-04-23;MERCREDI AVEC CLASSE
2014-04-24;salade verte
2014-04-25;Petits poisson panés
2014-04-25;citron
2014-04-29;Jambon fumé
2014-05-02;Macédoine mayo
2014-05-06;dijonnaise
2014-05-07;Concombres/ mozzarela (billes)
2014-05-09;Betteraves
2014-05-19;tome belle de nantes
2014-05-22;Jambon fumé
2014-05-27;Courgettes beurre provençale
2014-05-27;Salade de fruits frais
2014-05-28;Ecoles
2014-05-28;Choux blancs mimolette
2014-06-02;PA CHANGE
2014-06-03;jus de veau
2014-06-04;Paupiette de volaille sauce forestière
2014-06-04;Haricots verts cuits D'aucy
2014-06-05;Yaourt fermier bio
2014-06-06;Edam
2014-06-06;Fraises au sucre
2014-06-11;Rôti de bœuf
2014-06-12;Kydisalt coquillettes
2014-06-13;Eclair chocolat
2014-06-17;St nectaire
2014-06-19;Fraises
2014-06-20;Carottes râpées bio
2014-06-23;Sauté de dinde chasseur
2014-06-24;Salade de pâtes aux tomates confites
2014-06-27;Choux blancs / mimolette
2014-06-27;Pommes rissolées
2014-06-30;Radis / beurre
2014-06-30;Fromage blanc / fruits rouges
2014-06-30;fruits rouges cuisinés ( idée fruits)
2014-07-02;carottes râpées
2014-07-02;lentilles bio
2014-07-03;Banane
2014-07-04;macédoine
2014-07-07;Parmentier de poisson Collet
2014-07-07;Yaourt aromatisé
2014-07-08;Jambon fumé
2014-07-08;Camembert
2014-07-10;Salade douceur
2014-07-11;Nuggets de poisson
2014-07-16;Melon
2014-07-16;Ile flottante
2014-07-17;Pizza
2014-07-21;Abricots
2014-07-22;Purée de carottes
2014-07-25;Œuf durs
2014-07-30;Concombres
2014-07-30;Jambon blanc
2014-08-04;Pastèque
2014-08-05;Abricots
2014-08-08;Poisson au beurre blanc
2014-08-13;Suisses aro
2014-08-14;Melon
2014-08-14;Nuggets de poisson pané
2014-08-14;lait bio
2014-08-18;Jambon fumé
2014-08-20;Rôti de bœuf
2014-08-21;nectarine
2014-08-27;Semoule
2014-09-03;Chèvre
2014-09-11;Choux blancs bio mimolette
2014-09-15;Pastèque
2014-09-16;Rôti de dinde
2014-09-18;Haricots verts d'Aucy
2014-09-24;Sauté de veau en tagines
2014-09-25;Mogettes de vendée
2014-10-01;Salade verte au gruyère
2014-10-06;Ananas
2014-10-10;galettes brocolis/carottes
2014-10-14;Lait bio
2014-10-17;Poisson + sauce beurre blanc
2014-10-22;Pomme vapeur
2014-10-24;Tomate, maïs, concombres)
2014-10-24;Edam
2014-10-28;Mortadelle Bioporc
2014-10-28;pâté de volaille individuelle
2014-10-30;mimolette
2014-10-30;réservé à Terre assiette)
2014-10-31;riz Basmati
2014-11-04;Pizza
2014-11-04;rôti de bœuf au jus
2014-11-05;ratatouille
2014-11-05;Morbier
2014-11-12;jambon de dinde
2014-11-14;sauce crustacés
2014-11-17;sauté de porc à la moutarde
2014-11-18;sauce creme
2014-11-19;Taboulé
2014-11-20;Choux blancs à la mimolette
2014-11-24;tagliatelles
2014-11-27;Rôti de dinde
2014-11-27;jus de veau
2014-12-01;Gruyère
2014-12-03;purée de potiron
2014-12-03;Gateau au fromage blanc
2014-12-04;Céleri rémoulade bio
2014-12-08;Mâche aux dés de gruyère
2014-12-08;emincé de dinde chinoise
2014-12-08;Palets brocolis/carottes
2014-12-11;Betteraves râpées bio
2014-12-11;rpées agro / analyse libératoire
2014-12-12;Pomme bio
2014-12-15;salade verte
2014-12-19;Fromage Belle de Nantes
2014-12-22;Boulettes de bœuf en tagine
2014-12-23;Beignet
2014-12-23;Lait bio
2014-12-25;Noel
2015-01-07;pâtes tortis bio
2015-01-09;Lait bio
2015-01-12;Tarte fromage
2015-01-13;Camembert
2015-01-19;Demi-pamplemousse
2015-01-22;Rôti de bœuf ketchup
2015-01-22;Petits pois carottes s/vide
2015-01-27;Pilon de poulet
2015-02-02;CHANDELEUR
2015-02-03;salade composée
2015-02-03;danette goûter-lait
2015-02-11;Compote po/framboise
2015-02-12;Haricots verts
2015-02-13;Tomme noire
2015-02-18;Carottes surgelées
2015-02-19;demi-pamplemousse
2015-02-23;Pilon de poulet confit
2015-02-23;Petits pois
2015-02-23;Camembert
2015-02-23;Beignet pomme
2015-02-24;Poêlée de légumes et potatoes
2015-02-26;Concombres
2015-02-26;Saucisses bio
2015-02-27;Orange
2015-03-04;Cantal
2015-03-05;Rôti de bœuf au jus
2015-03-06;Poisson pané
2015-03-09;Gruyère
2015-03-19;Vallée d'auge
2015-03-19;Marmelade de pomme (livrée direct école)
2015-03-20;Carottes au beurre
2015-03-23;Pâté bio
2015-03-26;Kiwi bio
2015-03-27;Pâtes bio
2015-03-27;Yaourt fermier bio
2015-03-31;Pomme
2015-04-02;Suisses aro
2015-04-08;Pizza au fromage
2015-04-10;Poisson meunière
2015-04-13;Orange
2015-04-15;Fromage blanc / Fraises
2015-04-20;Pomme
2015-04-22;Yaourt aromatisé
2015-04-23;Mâche au gruyère
2015-04-28;Ananas
2015-05-07;Rôti de bœuf  au jus
2015-05-12;saucisses de volaille bio
2015-05-15;pique nique n°3
2015-05-18;Hachis parmentier
2015-05-18;Salade verte
2015-05-20;Salade de tomates
2015-05-21;et gruyère râpé
2015-05-22;Tarte normande aux pommes
2015-05-26;Pâtes à la bolognaise
2015-05-27;Rôti de porc
2015-05-28;Pâté bio+pâté de volaille
2015-06-01;Sauté de dinde aux citrons
2015-06-01;Poêlée légumes et potatoes
2015-06-01;Gâteau marbré au chocolat (Le Ster)
2015-06-04;jambon blanc
2015-06-11;Radis/beurre
2015-06-16;Omelette
2015-06-18;purée de pomme de terre
2015-06-19;Melon
2015-06-22;Raviolis 5/1 (stock)
2015-06-25;Poisson Meunière
2015-06-29;Petits panés de volaille
2015-06-29;Fruit de saison
2015-07-01;Carottes conventionnelles râpées
2015-07-06;PA JEUDI
2015-07-07;Fruit de saison
2015-07-09;Haricots verts
2015-07-15;Melon
2015-07-16;Jambon fumé
2015-07-17;Salade Marco Polo au saumon
2015-07-20;Betteraves aux dés de chèvre
2015-07-23;Timbale de pâtes
2015-07-24;Fruit de saison
2015-07-27;Pizza aux fromages
2015-07-27;Fruit
2015-07-28;Melon
2015-07-31;Omelette
2015-08-11;Poisson meunière
2015-08-12;Salade de tomates
2015-08-17;Lait bio
2015-08-19;Salade verte
2015-08-19;Ile flottante
2015-08-20;Timbale de pâtes dinde
2015-08-20;Timbale de pâtes
2015-08-26;Fromage blanc/biscuit
2015-08-27;Chanteneige
2015-09-04;CCAS : œuf mayonnaise
2015-09-04;Palets brocolis/carottes
2015-09-07;Purée de légumes verts
2015-09-08;Salade / demi-oeuf
2015-09-11;carbonata d'aubergines
2015-09-11;pêches chantilly
2015-09-15;riz
2015-09-16;Melon
2015-09-18;Concombres vgte
2015-09-18;semoule au lait
2015-09-21;Salade verte
2015-09-23;crème de gruyère
2015-09-28;ketchup
2015-09-28;CCAS : sce Béarnaise agro
2015-09-29;Tajine de légumes SMR
2015-09-29;Pomme bio
2015-10-01;Fromage blanc / miel
2015-10-02;saumon fumé
2015-10-05;salade verte
2015-10-06;Sauté de dinde aigre douce
2015-10-09;Salade de pâtes
2015-10-14;Banane
2015-10-16;Carottes râpées bio
2015-10-16;frites
2015-10-20;Suisses aromatisés
2015-10-22;Taboulé
2015-10-23;Courgettes à la tomate
2015-10-23;fruit de saison
2015-10-27;Pizza
2015-10-28;Rôti de dinde
2015-10-29;Choux rouges au gruyère
2015-10-30;Galette de légumes Monde des Crêpes
2015-11-02;Hachis Parmentier
2015-11-03;ccas : crevettes mayonnaise
2015-11-06;Petits poissons panés
2015-11-06;CCAS : poisson pané  autre grammage
2015-11-06;pâté de campagne / cornoichons
2015-11-06;frites
2015-11-13;Yaourt aro
2015-11-17;Haricots verts/haricots beurre  coupés
2015-11-17;Eclair chocolat
2015-11-20;Salade verte
2015-11-24;Yaourt brassé bio
2015-11-25;Pomme
2015-11-26;Endives / surimi
2015-11-26;Boeuf braisé
2015-11-27;Ratatouille agro
2015-11-27;Clémentines
2015-12-02;Poire
2015-12-14;Haché de volaille
2015-12-22;Rôti de bœuf
2015-12-23;Tartiflette aux lardons
2016-01-07;Ratatouille agro
2016-01-15;Yaourt fermier bio
2016-01-20;Clémentines
2016-01-21;Timbale de pâtes
2016-01-22;Belle de Nantes
2016-02-05;Camembert
2016-02-08;"Pâtes à la bolognaise
 Terre à l'assiette"
2016-02-10;Sauté de veau
2016-02-12;Epinards
2016-02-15;Salade de lentilles (lentilles, maïs,cornichons)
2016-02-16;Brocolis
2016-02-17;Céleri et carottes bio rémoulade
2016-02-18;Chou rouge bio
2016-02-18;Pomme vapeur bio Aria
2016-02-22;Salade de mâche
2016-02-24;Rôti de bœuf Terre à l'assiette
2016-02-25;Nouvel an chinois
2016-02-26;Fromage Belle de Nantes bio
2016-03-01;Carottes râpées bio
2016-03-02;Betteraves
2016-03-07;Endives au surimi et pommes
2016-03-09;Brocolis à la crème
2016-03-10;Paupiette de dinde
2016-03-14;Ananas
2016-03-17;Pomme noisettes
2016-03-21;Fondant au chocolat
2016-03-29;Chips
2016-03-31;Creme dessert
2016-04-01;Poisson meunière
2016-04-01;Courgettes à la tomate
2016-04-07;taboul é
2016-04-08;Poisson au beurre blanc
2016-04-14;Fromage blanc /fraises
2016-04-15;Sojasun citron
2016-04-18;PA jeudi avec volaille
2016-04-20;Choux rouges bio
2016-04-25;Yaourt aux fruits mixés
2016-04-26;ketchup
2016-04-29;Poisson meunière
2016-05-13;Poisson au beurre blanc
2016-05-13;Lait bio
2016-05-17;crème dessert
2016-05-18;Marmelade de pommes
2016-05-18;Fromage blanc / madeleine
2016-05-27;Poisson sauce normande
2016-06-01;Gaspacho
2016-06-01;Ananas
2016-06-03;Poisson meunière FRAIS Cité marine
2016-06-07;Rillettes de thon/citron salade
2016-06-07;Tortilla
2016-06-07;Tomme blanche
2016-06-08;Taboulé Tipiak aux légumes frais
2016-06-08;Fruit de saison
2016-06-10;Pastèque
2016-06-10;Po rissolées
2016-06-14;salade verte/dés de chèvre
2016-06-14;Sauce tomate
2016-06-14;Pâtes bio
2016-06-16;ketchup
2016-06-17;Flan de courgettes bio
2016-06-17;Le p'tit Cabrey
2016-06-20;Haricots verts/ haricots beurre
2016-06-22;Ratatouille
2016-06-27;Gratinée de légumes
2016-06-27;Compote stock
2016-06-30;Crêpe au fromage
2016-06-30;Nectarine
2016-07-08;Salade sombrero
2016-07-19;Nectarines
2016-07-20;Sauté de porc  BBC
2016-07-21;Rôti de bœuf
2016-07-21;Banane
2016-07-25;Filet de poulet au jus
2016-07-25;St paulin
2016-07-26;Rôti de porc
2016-07-27;Riz
2016-07-28;Sauté de veau à l'orange
2016-07-29;Carottes râpées
2016-08-01;Pâtes à la bolognaise
2016-08-01;et gruyère râpé
2016-08-05;Epinards
2016-08-08;Crème vanille
2016-08-09;Lentilles bio
2016-08-10;Sauté de veau Au lait de coco
2016-08-17;Sauté de porc  BBC sauce caramel
2016-08-23;Cantal
2016-08-23;Compote po/framboise
2016-08-24;Riz
2016-08-25;Pizza
2016-08-25;Fruit de saison
2016-08-26;Nombres plats bio et ou locaux / plats conventionnels  2/24
2016-08-31;Macédoine mayo
2016-09-05;Pizza au fromage
2016-09-06;Pommes rissolées
2016-09-07;Ratatouille/blé bio
2016-09-09;Omelette bio
2016-09-09;Poire
2016-09-13;Salade verte aux dés de chèvre
2016-09-23;Galette de soja tomate/basilic et sauce tomate
2016-09-26;Escalope de dinde
2016-09-30;Betteraves
2016-10-04;Choux blancs bio° à la mimolette
2016-10-05;Jambon blanc
2016-10-10;Houmous
2016-10-10;Poêlée de légumes
2016-10-12;Biscuit
2016-10-13;Gâteau aux légumineuses
2016-10-19;Rôti de boeuf*
2016-10-19;Île flottante
2016-10-21;Dos de lieu au poivre rose
2016-10-24;Yaourt aromatisé
2016-10-25;Crêpe au fromage
2016-10-25;Saucisse knacks bio°
2016-10-28;Purée de légumes verts
2016-10-28;Crème dessert vanille
2016-11-07;Banane
2016-11-10;Lait bio
2016-11-14;Yaourt fermier bio°
2016-11-16;Rillettes de thon avec citrons et salade
2016-11-16;Timbale de pâtes aux lardons
2016-11-17;Salade verte aux noix
2016-11-21;croûtons
2016-11-23;Orange
2016-11-24;Crème dessert caramel
2016-11-30;Demi-pamplemousse
2016-12-05;Fromage fondu au chèvre
2016-12-22;Poulet fermier
2016-12-23;Brocolis
2016-12-26;Sauté de porc BBC°
2016-12-28;Salade de fruits frais (ananas, pastèque, melon, pomme, ora)
2017-01-03;Salade coleslaw
2017-01-04;Gratin de pommes de terre
2017-01-04;Morbier
2017-01-06;Poisson meunière
2017-01-09;Edam
2017-01-11;Filet de poulet
2017-01-11;Galette des rois
2017-01-12;Pommes vapeur bio
2017-01-17;Sauce brÉsilienne ( menus)
2017-01-17;Salade de fruits exotiques
2017-01-24;Soupe miso et champignons émincés
2017-01-24;Aiguillettes de colin façon tempura
2017-01-27;Tortilla aux pommes de terre
2017-01-27;Camembert
2017-01-27;Orange
2017-01-30;Pizza au fromage
2017-01-30;"Purée de courge ""maison"""
2017-02-02;Céréales gourmandes bio
2017-02-03;Potage carottes / croûtons
2017-02-06;Pomme bio°
2017-02-15;Choux blancs bio° à la mimolette
2017-02-15;Roti de porc
2017-02-16;Pâtes à la bolognaise* et gruyère râpé
2017-02-17;Galette de soja tomate/basilic et sauce tomate
2017-02-17;Sauce au curry
2017-02-28;Pilon de poulet confit
2017-03-01;Mäche au gruyère
2017-03-02;Tarte au fromage
2017-03-02;Rôti de boeuf*
2017-03-03;Gratin de choux fleurs
2017-03-06;Jambon fumé
2017-03-16;Crêpe au fromage
2017-03-17;Eclair au chocolat
2017-03-20;Saint-Nectaire
2017-03-23;Choux blancs bio° à la mimolette
2017-03-24;Galette de soja  tomate / basilic et sauce tomate
2017-03-29;Ratatouille/blé bio
2017-03-30;Gratinée de légumes (pdt, carottes, brocolis)
2017-03-30;Tomme blanche
2017-04-10;Petits pois maraîcher
2017-04-12;Salade carnaval (mais, tomates, concombres)
2017-04-13;Poisson sauce au poivre rose
2017-04-20;Rôti de boeuf* fermier
2017-04-20;Pâtes bio
2017-04-21;Concombres
2017-04-25;Purée de légumes verts
2017-04-26;Salsifis
2017-04-27;Frites
2017-04-28;Dhal de lentilles bio°
2017-05-04;Rôti de boeuf* sauce au poivre
2017-05-05;Parmentier de poisson
2017-05-10;Salade coleslaw
2017-05-11;Emincé de boeuf* thaï
2017-05-12;Banane
2017-05-15;Crème de gruyère
2017-05-16;Carottes râpées bio
2017-05-17;Crêpe au fromage
2017-05-18;Salade douceur (garniture) 500g
2017-05-18;Fromage blanc et sirop d'érable
2017-05-24;Sauté de canard sauce maraichère
2017-05-24;Semoule au lait au chocolat
2017-05-29;Poisson meunière
2017-05-31;Salade verte à la mimolette
2017-06-02;Radis bio
2017-06-06;Tarte au fromage
2017-06-12;Chili con carne*
2017-06-16;Mimolette
2017-06-20;Salade composée au mini farballes et thon (pâtes, thon maïs)
2017-06-20;Macarons aux fruits
2017-06-21;Pâté bio°
2017-06-21;Grignottes de poulet
2017-06-21;Yaourt à boire
2017-06-27;Melon
2017-06-29;Epinards à la crème
2017-06-30;Filet de lieu au beurre blanc
2017-07-03;Gouda
2017-07-03;Ketchup
2017-07-04;Salade de riz (riz, maïs, carottes, poivrons)
2017-07-05;Galette de soja tomate/basilic et sauce tomate
2017-07-06;Salade de tomates
2017-07-07;Melon
2017-07-07;Crème dessert lait et chocolat
2017-07-19;Dés de betteraves au chèvre
2017-07-21;Pizza au fromage
2017-07-27;Yaourt aux fruits mixés
2017-08-01;Timbale de pâtes aux lardons
2017-08-01;Fromage blanc /Coulis de fruits rouges
2017-08-03;Fruit de saison
2017-08-08;Petits pois
2017-08-09;Concombres
2017-08-09;Cocktail de fruits au sirop
2017-08-16;Lasagnes* napolitaines
2017-08-21;Jambon fumé
2017-08-21;Tomme noire
2017-08-23;Gratin de choux fleurs
2017-08-23;Banane
2017-08-24;Gaspacho / croûtons
2017-08-30;Riz basmati
2017-08-30;Île flottante
2017-09-01;Fromage Chanteneige
2017-09-13;Tarte aux pommes
2017-09-15;Chili de légumes sans tofu
2017-09-27;Fromage blanc / Abricots secs
2017-09-28;Tropézienne
2017-09-29;Banane
2017-10-02;Pizza au fromage
2017-10-02;Haricots verts/haricots beurre
2017-10-02;Pomme bio°
2017-10-03;Poisson au curry
2017-10-12;Poire
2017-10-16;Camembert
2017-10-23;Salade de mâche au thon
2017-11-07;Yaourt  fermier  bio°
2017-11-08;Rôti de porc au jus°
2017-11-10;Gouda
2017-11-14;Crème dessert vanille
2017-11-15;Céleri rémoulade bio
2017-11-15;Yaourt aromatisé
2017-11-17;Salade carnaval (mais, tomates, concombres)
2017-11-20;Purée de potimarron bio°
2017-11-20;Pomme bio°
2017-11-23;Sauté de boeuf* bourguignon
2017-11-24;Galette de soja tomate/basilic et sauce tomate
2017-12-04;Mogettes
2017-12-12;Cube de poisson à la dieppoise
2017-12-13;Carottes
2017-12-14;Emincé de boeuf* thaï
