Date,autre_proteine,feculent,fruit,laitage,legume,sucrerie,sauce,poisson_fruit_mer,viande_blanche,viande_rouge,bio,industriel
2011-06-28,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666
2011-06-29,0.0,0.0,0.3,0.3,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2011-06-30,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
2011-07-01,0.0,0.25,0.375,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.25
2011-07-04,0.0,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0
2011-07-05,0.0,0.1,0.0,0.2,0.4,0.1,0.0,0.0,0.2,0.0,0.0,0.2
2011-07-06,0.0,0.2,0.2,0.25,0.25,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2011-07-08,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2011-07-11,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.6666666666666666
2011-07-12,0.0,0.1,0.2,0.2,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.2
2011-07-13,0.1,0.2,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0
2011-07-15,0.0,0.0,0.375,0.125,0.0,0.125,0.0,0.125,0.25,0.0,0.0,0.25
2011-07-18,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
2011-07-19,0.0,0.06666666666666667,0.26666666666666666,0.2,0.26666666666666666,0.0,0.0,0.0,0.2,0.0,0.2,0.0
2011-07-20,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
2011-07-21,0.0,0.0,0.2,0.2,0.3,0.0,0.0,0.1,0.2,0.0,0.0,0.0
2011-07-22,0.0,0.2,0.2,0.3,0.1,0.0,0.1,0.1,0.0,0.0,0.2,0.2
2011-07-25,0.0,0.25,0.375,0.0,0.25,0.0,0.0,0.0,0.125,0.0,0.0,0.0
2011-07-26,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25
2011-07-27,0.2,0.06666666666666667,0.26666666666666666,0.2,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-28,0.1,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.2
2011-07-29,0.0,0.08333333333333333,0.25,0.19444444444444445,0.19444444444444445,0.027777777777777776,0.0,0.05555555555555555,0.19444444444444445,0.0,0.0,0.16666666666666666
2011-08-04,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2011-08-05,0.0,0.0,0.4,0.3,0.1,0.0,0.0,0.2,0.0,0.0,0.2,0.2
2011-08-08,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25
2011-08-09,0.0,0.06666666666666667,0.26666666666666666,0.2,0.26666666666666666,0.0,0.0,0.2,0.0,0.0,0.0,0.0
2011-08-10,0.0,0.1,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0
2011-08-11,0.125,0.125,0.25,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.0
