index,Date,Plat,Wfeculent,Wfruit,Wlegume,Wbio,Windustriel,month,match,category,is_saison
3283,2016-09-07,Ratatouille/blé bio,1.0,0.0,0.0,1,1,9,,,False
3285,2016-09-09,Poire,0.0,1.0,0.0,0,0,9,poire,fruit,True
3286,2016-09-13,Salade verte aux dés de chèvre,0.0,0.0,0.5,0,0,9,salade verte,legume,True
3287,2016-09-23,Galette de soja tomate/basilic et sauce tomate,0.0,0.3333333333333333,0.3333333333333333,0,1,9,tomate,fruit,True
3289,2016-09-30,Betteraves,0.0,0.0,1.0,0,0,9,betterave,legume,True
3290,2016-10-04,Choux blancs bio° à la mimolette,0.0,0.0,0.5,1,0,10,chou,legume,True
3293,2016-10-10,Poêlée de légumes,0.0,0.0,1.0,0,0,10,,,False
3300,2016-10-25,Crêpe au fromage,0.5,0.0,0.0,0,0,10,,,False
3302,2016-10-28,Purée de légumes verts,0.0,0.0,1.0,0,0,10,,,False
3304,2016-11-07,Banane,0.0,1.0,0.0,0,0,11,,,False
3307,2016-11-16,Rillettes de thon avec citrons et salade,0.0,0.3333333333333333,0.3333333333333333,0,0,11,citron,fruit,True
3308,2016-11-16,Timbale de pâtes aux lardons,0.5,0.0,0.0,0,1,11,,,False
3309,2016-11-17,Salade verte aux noix,0.0,0.5,0.5,0,0,11,salade verte,legume,True
3311,2016-11-23,Orange,0.0,1.0,0.0,0,0,11,orange,fruit,True
3313,2016-11-30,Demi-pamplemousse,0.0,1.0,0.0,0,0,11,pamplemousse,fruit,False
3316,2016-12-23,Brocolis,0.0,0.0,1.0,0,0,12,brocoli,legume,False
3318,2016-12-28,"Salade de fruits frais (ananas, pastèque, melon, pomme, ora)",0.0,0.5,0.5,0,0,12,pomme,fruit,True
3319,2017-01-03,Salade coleslaw,0.0,0.0,1.0,0,0,1,,,False
3320,2017-01-04,Gratin de pommes de terre,0.0,1.0,0.0,0,0,1,pomme de terre,legume,True
3325,2017-01-11,Galette des rois,0.5,0.0,0.0,0,1,1,,,False
3326,2017-01-12,Pommes vapeur bio,0.0,1.0,0.0,1,0,1,pomme de terre,legume,True
3328,2017-01-17,Salade de fruits exotiques,0.0,0.5,0.5,0,0,1,,,False
3329,2017-01-24,Soupe miso et champignons émincés,0.0,0.0,1.0,0,0,1,,,False
3331,2017-01-27,Tortilla aux pommes de terre,0.0,1.0,0.0,0,0,1,pomme de terre,legume,True
3333,2017-01-27,Orange,0.0,1.0,0.0,0,0,1,orange,fruit,True
3335,2017-01-30,"Purée de courge ""maison""",0.0,0.0,1.0,0,0,1,courge,legume,True
3336,2017-02-02,Céréales gourmandes bio,0.5,0.0,0.0,1,1,2,,,False
3337,2017-02-03,Potage carottes / croûtons,0.0,0.0,1.0,0,0,2,carotte,legume,True
3338,2017-02-06,Pomme bio°,0.0,1.0,0.0,1,0,2,pomme,fruit,True
3339,2017-02-15,Choux blancs bio° à la mimolette,0.0,0.0,0.5,1,0,2,chou,legume,False
3341,2017-02-16,Pâtes à la bolognaise* et gruyère râpé,0.3333333333333333,0.0,0.0,0,0,2,,,False
3342,2017-02-17,Galette de soja tomate/basilic et sauce tomate,0.0,0.3333333333333333,0.3333333333333333,0,1,2,tomate,fruit,False
3348,2017-03-03,Gratin de choux fleurs,0.0,0.0,1.0,0,0,3,chou,legume,True
3350,2017-03-16,Crêpe au fromage,0.5,0.0,0.0,0,0,3,,,False
3351,2017-03-17,Eclair au chocolat,0.5,0.0,0.0,0,1,3,,,False
3353,2017-03-23,Choux blancs bio° à la mimolette,0.0,0.0,0.5,1,0,3,chou,legume,True
